osd_id,n_flight,n_ground,tsne_centroid_distance,pca_centroid_distance,flight_dispersion,ground_dispersion,separation_ratio,phase_shift_hours,p_value
OSD-120,18,18,1.7728301,0.5563028417410346,2.668316543734529,3.661893729481486,0.5601172953672093,-0.1344599726796147,0.2975753580616194
OSD-121,3,3,0.7438899,0.7082137274629189,0.2873919774998693,0.4797209179949086,1.9394535856010484,-0.1196472869992568,0.3283565187887618
OSD-147,9,9,0.39233062,0.19923310477382694,1.5765955669400138,2.357845528990603,0.19943397659116402,-0.064875154972082,0.1339387371390322
OSD-17,12,12,0.54519993,0.23409412595931584,1.892546154293112,2.501574983077072,0.24814970439989792,-0.0615397753873665,0.1467872861199899
OSD-193,16,16,5.3296185,0.6236462248754605,3.0655654942701895,4.09949524640452,1.4876687433294864,-0.2369036710894789,0.0016767457624279
OSD-205,8,8,1.0281848,0.191709705501526,1.7217607074921804,2.2966905806579354,0.5117318577780262,-0.0464829890783846,0.3078071171584414
OSD-217,6,6,11.829184,4.184745933863744,2.064493306367607,1.234822424121156,7.1706890426875445,0.3212727325361371,0.2284779476421087
OSD-218,16,16,3.8169293,0.7264617704761903,5.820761493694533,5.694959736517797,0.6629075615947628,-0.1132388167129008,0.0568115693819357
OSD-281,16,16,4.339381,0.49854847535326396,5.882209178437043,3.5660805959352215,0.9185537957836072,-0.1696256080197926,0.0380974444952451
OSD-314,11,6,2.2855773,0.6764441001108176,3.629927128032672,2.879378716985731,0.7022491650042391,0.1365709384309248,0.2543895975183616
OSD-321,22,22,12.715205,0.8780800160851355,1.7017073308384507,1.8800886259942955,7.099904821942744,-0.4295122444024493,1.772428827040429e-07
OSD-37,28,28,0.93974566,0.646738099491837,5.484838691637232,3.722734422703498,0.20412450771265894,-0.044355193120591,0.5942813257168887
OSD-38,3,9,1.7503775,1.938312516607079,1.536935406253481,2.6590710726182207,0.8343064028302838,-0.5195543525885142,0.0259227483108773
OSD-427,24,24,0.5133713,0.23358485675414267,7.443888466489912,7.626515114415522,0.06812973335722097,0.1661533789981106,0.1700483483353956
OSD-437,16,3,3.2814035,1.1951978129344893,2.466562651122985,0.7472877170444375,2.042038779444507,0.1466368933186785,0.4497062263243055
OSD-44,6,6,0.8924895,0.5367894232173182,0.7941783190637941,0.5716469310429676,1.306886796569995,-0.034915502913158,0.6452278627530768
OSD-678,18,18,1.4711875,0.7543444059024166,6.08253519141287,7.793249734676825,0.21205106308289215,-0.2238658897351442,0.7495118449976652
OSD-7,18,18,0.16612965,0.2299976506138057,3.9728086248044536,4.052892733176253,0.0413994095407642,0.0898258780116554,0.2617941091792422
