"logFC","AveExpr","t","P.Value","adj.P.Val","B","TAIR"
2.64083200354444,6.5767275428776,46.0858697340838,8.36829781013952e-42,1.55206819484658e-37,85.3572491902775,"AT1G03870"
-2.45930531600986,5.58091539794352,-42.7484286325029,2.97596387660418e-40,2.75976010096888e-36,81.7732755542198,"AT1G15040"
3.1352427919715,4.417175343277,40.9891426523544,2.17854337964447e-39,1.11597627619318e-35,79.4978646121415,"AT3G18000"
2.02519483492595,4.71212767313846,40.9029063378034,2.40680708727704e-39,1.11597627619318e-35,79.6247448031409,"AT4G22130"
3.46794060296082,4.48051392454507,39.201909372672,1.79103971133989e-38,5.51582876580168e-35,77.4242919827867,"AT4G16990"
-1.90168913826382,6.62199654428752,-38.9070674724451,2.55743855416953e-38,5.51582876580168e-35,77.3736294445001,"AT2G39210"
2.21454146668131,6.35204918473279,38.8028196563733,2.90246072590275e-38,5.51582876580168e-35,77.2478717776031,"AT4G12420"
-2.23631016644916,7.45429127972833,-38.7582136836124,3.06426062649915e-38,5.51582876580168e-35,77.1908045029508,"AT2G13360"
2.28945831927031,5.98880248920828,38.7549822226972,3.07633365301572e-38,5.51582876580168e-35,77.1878019899454,"AT3G54920"
-1.63411342504692,7.47887977439018,-38.7524125063269,3.08596896469796e-38,5.51582876580168e-35,77.1828786256563,"AT5G16370"
2.33210553315798,6.0644687800886,38.7044989358538,3.27137091841368e-38,5.51582876580168e-35,77.1270773485361,"AT5G52882"
2.32719028391503,6.0930386541515,38.5483840085655,3.95815710265826e-38,5.87088239258982e-35,76.9372624510908,"AT3G23820"
2.93983729636201,6.84786484918754,38.5166160863947,4.11503052265421e-38,5.87088239258982e-35,76.8990178317977,"AT2G06850"
-1.66936159767563,7.9749962090731,-38.3174186207636,5.25431446454771e-38,6.76689285538846e-35,76.6492232169038,"AT2G25900"
-1.79502128746002,6.4408716729875,-38.2843124627527,5.472766098605e-38,6.76689285538846e-35,76.6134219060571,"AT2G47180"
-1.71511110874609,6.37109417683661,-38.2234991798866,5.89849014770873e-38,6.83745604809711e-35,76.5386816326275,"AT3G06850"
1.11080759697996,6.69703056795599,38.1472568438804,6.48033803735921e-38,7.0700487987589e-35,76.4418377802508,"AT1G10670"
-2.01236995842932,5.59251433071365,-37.6113386438881,1.26171706880137e-37,1.27778133182168e-34,75.7777526118436,"AT1G76590"
-1.58030230746189,8.09317110828518,-37.5819591448527,1.30899041918434e-37,1.27778133182168e-34,75.7343750129224,"AT3G51730"
1.89885394860505,5.44340095531548,37.3417925490813,1.76995172090943e-37,1.64136472838536e-34,75.4384697273975,"AT1G75680"
-2.06247989755645,7.95436701123012,-37.2204365557703,2.06285105807289e-37,1.82189040828943e-34,75.2791146367263,"AT2G38400"
-1.55215262159113,5.85525329530569,-37.1498017570067,2.25564612880908e-37,1.90161221595554e-34,75.199868902233,"AT2G28110"
2.90631007140918,4.92219760325333,37.0518380671961,2.55388454333693e-37,2.01440719803469e-34,75.0106832798664,"AT2G46970"
1.54823358527335,6.68379719368528,37.0357243071292,2.60666268144889e-37,2.01440719803469e-34,75.0488883680586,"AT1G63940"
-2.02806805353761,6.20461467503557,-36.9277414828249,2.99026280310712e-37,2.21841616836911e-34,74.9170169755418,"AT5G06570"
1.09051811529638,6.72591024317156,36.7265496072341,3.86576750873159e-37,2.75763038401711e-34,74.6524138550048,"AT3G59970"
3.34485774030394,5.22281218991393,36.6315557414108,4.36607852668965e-37,2.99917253461159e-34,74.4936462611109,"AT2G14900"
-1.39837277961018,8.84610645919124,-36.1970855189152,7.64671148192922e-37,5.06512706626219e-34,73.9643720667963,"AT1G54100"
1.48032369179177,5.51839418181922,35.6557701858557,1.55074161450591e-36,9.91779473249692e-34,73.2748299584049,"AT4G18030"
-1.3505441798838,6.48850576838456,-35.6243921393065,1.61611134972082e-36,9.99133906775738e-34,73.2209844737221,"AT1G19400"
