"logFC","AveExpr","t","P.Value","adj.P.Val","B","TAIR"
-1.26568756969683,5.74668872005909,-17.7175112687142,2.47423485006916e-19,4.77898461290858e-15,33.8606335514702,"AT3G52740"
-2.03436141709853,4.99657717528281,-17.0909432556289,7.88761498888543e-19,7.61746417551611e-15,32.5885648786016,"AT4G14690"
-1.72106367884118,5.63074216800484,-16.7995131418096,1.36810127606711e-18,8.80829204907874e-15,32.1876078936912,"AT2G47460"
-2.5649445463,4.81091393470557,-16.3825699897664,3.04780753211065e-18,1.47171006206793e-14,31.1967147163345,"AT3G22840"
-1.17897578693265,4.56486344446099,-14.0571174612409,3.60542518537838e-16,1.39277574911167e-12,26.6965376360055,"AT3G24520"
-1.50315646286745,7.17888794440879,-13.7195349653389,7.55231744271005e-16,2.43121685676574e-12,26.0700477312072,"AT1G06040"
-1.74838229254473,5.24482400751497,-13.5005000546119,1.22847651683514e-15,3.38971770323866e-12,25.5577539911036,"AT3G21560"
-1.05128524774228,6.53576641767241,-13.2799998729859,2.01575550372405e-15,4.86678969430376e-12,25.1010062978487,"AT5G67300"
-2.39046227459595,3.87420637099142,-12.3001086663456,1.94926877601994e-14,4.18334737875834e-11,22.6384498301957,"AT5G15950"
-1.52036110591343,5.88199210746514,-12.1133189975,3.04348650395218e-14,5.87849418238364e-11,22.4198630375333,"AT3G56290"
-2.63695722361148,2.2362293603274,-12.0329909105676,3.69109255617777e-14,6.48122297477942e-11,20.8926187138626,"AT4G15248"
-0.757535297932046,5.99127935297677,-11.5238085732243,1.27737533656829e-13,2.01028827314778e-10,20.9983925511094,"AT3G46640"
-0.809873950109741,4.74851376319895,-11.5005277754981,1.35302860734772e-13,2.01028827314778e-10,20.9457096557595,"AT5G43630"
-1.34335177441977,3.36070307654544,-11.1321610489335,3.39363488748852e-13,4.68200413227435e-10,19.8752533255289,"AT3G47500"
-1.31732274377705,2.85615825381747,-10.905121751748,6.03331353777414e-13,7.7688967321405e-10,19.1547443879839,"AT3G44450"
-1.60605296798605,3.92991309164078,-10.7371207441509,9.27518969912922e-13,1.11968930649176e-09,19.0092254535549,"AT5G24120"
1.08662424428075,5.52743911808462,10.5236442614324,1.61040559980494e-12,1.82970495060191e-09,18.4955464736409,"AT1G11185"
-1.76694311126522,4.08076706969988,-10.3520018472233,2.52033451534928e-12,2.70445895355396e-09,18.0508196087768,"AT2G22590"
-1.0173105519285,4.90264856743849,-10.3054544233052,2.84772421919471e-12,2.83728513101771e-09,17.9462044335443,"AT5G08050"
-1.64091198181322,3.57604828110508,-10.2935887170947,2.93790849704137e-12,2.83728513101771e-09,17.8482062188143,"AT1G18330"
-1.70098306084227,1.61058464441309,-10.2544458466124,3.25658197096857e-12,2.99528003663133e-09,16.7138680465678,"AT3G17130"
-1.1048137369359,3.12894919384454,-10.0288142592312,5.91911975345731e-12,5.19671809263763e-09,17.1152135102834,"AT4G25700"
-1.16304597480365,6.73531100981672,-9.99821294403025,6.42204801606838e-12,5.39312423610264e-09,17.0990155054584,"AT4G25640"
-1.06926611057573,5.51230818119575,-9.95907057794385,7.12938993508228e-12,5.73767360817143e-09,17.0204692324096,"AT5G56980"
-0.803051955600597,6.2530946212662,-9.85191545162626,9.50002374518623e-12,7.13286572222074e-09,16.7140453001737,"AT5G44110"
-0.714254982195978,6.08910543146477,-9.84795702778277,9.60157953806571e-12,7.13286572222074e-09,16.7063651139608,"AT1G67360"
