Stratum,N_Studies,Pooled_Effect_h,CI_95_Lower,CI_95_Upper,P_Value,I2_pct,Tau2,Notes
cell_culture,1,,,,NA,,,Too few studies in stratum
hypocotyl,3,-0.037,-0.099,0.025,0.2397,30.127,0.001,
leaf,3,0.183,-0.035,0.402,0.1001,0.0,0.0,
root,4,-0.169,-0.24,-0.099,0.0000,0.0,0.0,
shoot,3,0.13,-0.182,0.442,0.4132,79.159,0.054,
whole_seedling,5,-0.192,-0.425,0.041,0.1058,91.07,0.062,
