Stratum,N_Studies,Pooled_Effect_h,CI_95_Lower,CI_95_Upper,P_Value,I2_pct,Tau2,Notes
LD_16:8,2,0.144,-0.019,0.306,0.0833,0.0,0.0,
LD_4:2,1,,,,NA,,,Too few studies in stratum
continuous_light,3,0.002,-0.17,0.175,0.9781,37.738,0.01,
dark,6,-0.198,-0.383,-0.013,0.0356,93.228,0.048,
unknown,7,-0.094,-0.183,-0.006,0.0368,58.646,0.007,
