"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","osd_id","phase_shift","tissue","light_regime","is_circadian"
"GO:0000028 (ribosomal small subunit assembly)",0.00259067357512953,0.0139248704663212,0.586931822659509,1.87292510253556,12,24,"AT2G37270;AT5G15520;AT5G61170;AT5G47930;AT3G11940;AT3G02080;AT3G11510;AT5G66470;AT5G09510;AT5G47320;AT3G52580;AT3G04770;AT1G30960;AT5G64140;AT1G04270;AT5G38720;AT3G61110;AT2G36160;AT3G10090","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000045 (autophagosome assembly)",0.000205634382068682,0.00186712983065567,-0.583106307164957,-2.11143926360694,0,39,"AT3G49590;AT5G43930;AT4G21980;AT4G16520;AT4G04620;AT1G04140;AT3G15580;AT3G19190;AT5G61500;AT3G59950;AT5G50230;AT2G44140;AT4G30790;AT2G45170;AT5G45900;AT1G54210;AT5G66930;AT3G61710;AT1G60490;AT4G15410;AT3G18770;AT3G50590;AT5G17290;AT3G06420;AT1G62040;AT4G17790;AT3G61960;AT3G07525;AT4G09580","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000082 (G1/S transition of mitotic cell cycle)",0.000394399526720568,0.00312405940902345,0.646170988197458,2.18676523086458,1,30,"AT1G47210;AT4G34160;AT1G76310;AT1G15570;AT5G06150;AT5G67260;AT4G35620;AT3G50070;AT2G22490;AT2G26760;AT3G54180;AT5G65420;AT1G20610;AT3G11520;AT4G37630;AT1G44110;AT1G20930;AT2G38620;AT4G03270;AT5G11300;AT1G70210;AT1G80370;AT4G37490;AT3G12280","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000103 (sulfate assimilation)",0.204392560348239,0.360525879049129,0.395110475509046,1.22000389927022,1032,21,"AT5G54390;AT1G19920;AT4G14680;AT4G04610;AT1G62180;AT5G63980;AT4G05090;AT3G22890;AT3G03900;AT5G04590","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000122 (negative regulation of transcription by RNA polymerase II)",0.041370918677753,0.116379874037417,-0.434919306982925,-1.47636082193211,203,30,"AT3G15880;AT1G03850;AT5G47390;AT5G13080;AT3G10490;AT3G52250;AT1G43850;AT1G28480;AT4G25520;AT3G10480;AT5G62090;AT2G47210;AT3G01320;AT5G15020;AT4G25515","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000160 (phosphorelay signal transduction system)",0.776718718312715,0.854796609584363,-0.25848634975832,-0.785132607195174,3829,19,"AT1G27320;AT5G02810;AT1G10470","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000162 (tryptophan biosynthetic process)",0.397160323407612,0.567910961262191,0.347015351831361,1.04590988026923,2013,19,"AT5G60890;AT5G05590;AT4G02610;AT2G36230;AT1G69370;AT1G07780;AT4G31500;AT1G29410;AT2G29690","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000165 (MAPK cascade)",0.000204792135981978,0.00186712983065567,-0.753633653923576,-2.1804015801017,0,16,"AT4G08500;AT1G53570;AT4G08480;AT1G08720;AT4G11330;AT2G18170;AT4G08470;AT3G21220","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000209 (protein polyubiquitination)",0.000612745098039216,0.00429963146016056,-0.527268279534981,-1.96575053217012,2,44,"AT1G26800;AT3G17000;AT1G14400;AT1G64230;AT5G02880;AT5G41700;AT5G53300;AT2G02760;AT4G38600;AT3G08690;AT2G39100;AT1G17280;AT3G07370;AT3G13550;AT3G17205;AT5G46210","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000226 (microtubule cytoskeleton organization)",0.000196078431372549,0.00186712983065567,0.517920664571535,2.00315090789617,0,54,"AT1G20010;AT1G75780;AT5G12250;AT4G26760;AT1G50010;AT5G19780;AT2G35880;AT2G29550;AT5G23860;AT5G51600;AT2G18990;AT5G44340;AT4G14960;AT5G55230;AT2G18390;AT3G50360;AT4G15830;AT3G23090;AT3G60840;AT3G01450;AT3G55005;AT4G20890;AT2G01910;AT3G25580;AT1G75640;AT4G09550;AT5G62690;AT5G14790","OSD-321",-0.43,"whole_seedling","dark",FALSE
