"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","osd_id","phase_shift","tissue","light_regime","is_circadian"
"GO:0000245 (spliceosomal complex assembly)",0.0663662433428923,0.165777919055689,-0.494726767412277,-1.45336833066886,323,17,"AT5G64270;AT2G32600;AT3G51110;AT3G53030;AT3G13210;AT1G60900;AT2G37340;AT5G22840","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000278 (mitotic cell cycle)",0.000195771339075959,0.00186712983065567,0.531794629372575,2.01538235348694,0,49,"AT1G20010;AT1G75780;AT5G12250;AT1G50010;AT5G19780;AT3G42660;AT3G43610;AT2G29550;AT2G31270;AT1G03780;AT5G23860;AT3G53760;AT1G08260;AT5G44340;AT5G05620;AT4G14960;AT3G60660;AT4G21820;AT3G61650;AT4G20890;AT3G59550","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000302 (response to reactive oxygen species)",0.305748063595597,0.482513677275134,-0.329412296340413,-1.10823676129666,1499,29,"AT4G18880;AT4G34890;AT2G43790;AT5G58070;AT1G19020;AT3G56400;AT4G35000;AT4G32320;AT5G01600;AT4G17490;AT3G08640;AT5G13650;AT5G52310;AT2G01980","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000373 (Group II intron splicing)",0.492144540455617,0.647423101856366,0.293793425817037,0.970673520594867,2505,27,"AT4G14510;AT3G23070;AT3G23990;AT5G16180;AT3G27550;AT3G22310;AT2G15820;AT2G20020;AT4G01037;AT1G30010;AT2G39120;AT4G01400;AT5G26742;AT3G16010;AT5G27270;AT1G70070;AT1G23400","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000387 (spliceosomal snRNP assembly)",0.18078983925382,0.334878409940922,0.410365974006811,1.24856822456222,910,20,"AT1G13030;AT4G30330;AT2G23930;AT1G54385;AT4G30220;AT2G42510;AT1G15470;AT2G14285;AT4G02840;AT2G18740;AT1G52730;AT5G62290","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000398 (mRNA splicing, via spliceosome)",0.00020755500207555,0.00186712983065567,-0.404512076773131,-1.85885049658757,0,137,"AT4G25500;AT1G23860;AT1G27650;AT3G53500;AT3G11960;AT5G42820;AT1G55310;AT3G55460;AT1G14650;AT5G56900;AT5G64730;AT4G34140;AT5G64200;AT2G33730;AT1G25682;AT4G21660;AT1G16610;AT5G52040;AT5G08550;AT1G03910;AT3G54230;AT3G51110;AT3G19670;AT1G77180;AT3G47120;AT3G19760;AT5G08290;AT1G33520;AT3G13570;AT4G03430;AT3G61860;AT3G26020;AT2G33340;AT1G10580;AT5G18810;AT5G10370;AT2G43370;AT1G60170;AT1G80070;AT1G76860;AT3G13200;AT1G21190;AT3G10400;AT5G51280;AT4G08580;AT1G56290;AT5G19350;AT3G13210;AT1G65660;AT5G12190;AT4G21110;AT1G80930;AT5G63370;AT4G38780;AT1G60900;AT2G38770;AT3G26560;AT5G13010;AT4G32270;AT1G49590;AT2G37340","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000423 (mitophagy)",0.000202101859337106,0.00186712983065567,-0.704500369350064,-2.1963207334896,0,21,"AT3G49590;AT5G43930;AT4G21980;AT4G16520;AT4G04620;AT1G04140;AT3G15580;AT2G31260;AT3G59950;AT2G44140;AT2G45170;AT5G45900;AT3G61710;AT3G18770;AT1G05270;AT5G17290;AT3G06420;AT1G62040","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000462 (maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA))",0.79473893981666,0.8635971873098,0.244236894671489,0.779370607173458,3987,24,"AT2G47680;AT5G20290;AT1G17690;AT2G09990;AT3G10530;AT5G43720;AT2G01640;AT2G43650;AT1G06720;AT3G06530;AT4G28450;AT1G15420;AT1G07840;AT1G33390;AT1G12650;AT1G04230;AT2G44820;AT4G28200;AT5G27990;AT1G42440;AT3G56990;AT3G04230;AT5G18380;AT1G15440","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000463 (maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA))",0.00039177277179236,0.00312405940902345,0.695456926695839,2.06735762038581,1,18,"AT2G01250;AT1G80750;AT2G44120;AT3G09500;AT5G02610;AT2G39390;AT2G40360;AT3G13580;AT3G23620;AT3G55170;AT5G65900","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000723 (telomere maintenance)",0.979895611830659,0.996786202223422,0.188436652057678,0.534610354479107,5068,15,"AT2G05210","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000724 (double-strand break repair via homologous recombination)",0.0502443792766373,0.134431628109047,0.344377770070826,1.37685888052536,256,64,"AT1G04020;AT4G00020;AT5G08020;AT5G61000;AT3G05740;AT1G10930;AT2G24490;AT3G09660;AT5G01630;AT5G27680;AT5G64630;AT1G60930;AT5G38110;AT4G21070;AT1G65470;AT1G31360;AT5G22750;AT1G27880;AT5G47870;AT1G74560;AT5G56950;AT5G07660;AT2G14050;AT5G21140","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000902 (cell morphogenesis)",0.5814453125,0.708562911184211,0.311061646688431,0.911255090423472,2976,17,"AT1G62440;AT1G11130;AT5G18410;AT1G47870;AT1G34350;AT3G20780;AT1G20090;AT1G71790","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0000911 (cytokinesis by cell plate formation)",0.0965652600588813,0.212161629764403,0.351438973670354,1.30613256626389,491,45,"AT2G28620;AT4G26760;AT1G18370;AT5G51600;AT2G35190;AT5G66410;AT5G05620;AT5G55230;AT3G19050;AT3G61650;AT1G53140;AT3G05330;AT5G13260;AT5G10470;AT3G50960;AT2G30410;AT1G09630","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0001510 (RNA methylation)",0.717018339577993,0.819153986900701,0.27223891538692,0.82053249198996,3635,19,"AT4G20910;AT3G13180;AT4G40000;AT4G25630;AT5G13830;AT5G26880;AT1G06560;AT4G26600","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0001522 (pseudouridine synthesis)",0.28455925852889,0.458621699346405,0.377042351240634,1.13641174190519,1442,19,"AT4G21770;AT5G51140;AT5G14460;AT1G20410;AT3G06950;AT3G57150;AT2G39140;AT3G19440;AT1G76050","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0001666 (response to hypoxia)",0.00533661740558292,0.0247126436781609,-0.455239787467704,-1.6860799079508,25,43,"AT1G53910;AT5G63790;AT3G20770;AT1G64280;AT4G24230;AT5G25110;AT4G27780;AT3G14230;AT3G01090;AT3G16770;AT1G43850;AT5G03730;AT3G19760;AT4G20380;AT1G17290;AT2G32700;AT4G32551;AT1G35140;AT4G19230;AT2G31810","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0002181 (cytoplasmic translation)",0.000196270853778214,0.00186712983065567,0.67525802029328,2.50961491756238,0,45,"AT2G36620;AT1G27400;AT3G05560;AT1G18540;AT1G41880;AT3G55750;AT5G02450;AT4G26230;AT4G00810;AT5G67510;AT3G49910;AT3G09200;AT5G56710;AT3G53020;AT3G06680;AT1G74060;AT5G27470;AT4G17390;AT4G10450;AT1G33140;AT2G37600;AT3G06700;AT3G11250;AT2G40010;AT2G18020;AT2G19740;AT1G67430;AT3G53740;AT1G51730;AT1G74050;AT1G07070;AT3G04770;AT4G36130;AT5G47700","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0002213 (defense response to insect)",0.00689096068098906,0.0298443045320533,-0.522765079196348,-1.70145217640474,33,25,"AT5G14180;AT5G43580;AT3G28740;AT1G45145;AT3G48520;AT3G62590;AT4G16760;AT5G10300;AT1G02660;AT5G57220;AT3G44260;AT4G08850;AT5G65040;AT4G23100","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0002221 (pattern recognition receptor signaling pathway)",0.283299389002037,0.458457613385016,-0.340246718066703,-1.1260155583841,1390,27,"AT3G09830;AT3G28690;AT1G53570;AT5G24090;AT3G49120;AT2G39660;AT1G61360;AT1G61480","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0002229 (defense response to oomycetes)",0.0144543973941368,0.0533837253452169,-0.389202815618904,-1.53204812406422,70,57,"AT5G24530;AT4G33430;AT4G04960;AT4G28350;AT4G02410;AT3G56400;AT1G08720;AT4G10500;AT3G59700;AT5G60270;AT3G45410;AT5G01560;AT1G59870;AT5G01550;AT5G26920;AT5G59260;AT1G15530;AT5G59270;AT5G10530;AT5G60280;AT2G32800","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0002237 (response to molecule of bacterial origin)",0.000205803663305207,0.00186712983065567,-0.627839453197177,-2.24213491196044,0,37,"AT1G73260;AT1G62810;AT1G08320;AT1G80460;AT3G05360;AT1G07000;AT3G55450;AT1G66340;AT5G24590;AT1G59820;AT5G06839;AT1G16670;AT1G59870;AT3G10490;AT5G26920;AT3G25070;AT2G39660;AT3G05010;AT5G03280;AT4G08850;AT1G69220","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0002238 (response to molecule of fungal origin)",0.000414164423276041,0.00315603775711616,-0.72114699891963,-2.03898340275485,1,15,"AT1G73260;AT3G10985;AT4G27320;AT3G05360;AT1G07000;AT5G54430;AT1G59820;AT1G59870;AT1G10920","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0002239 (response to oomycetes)",0.000200642054574639,0.00186712983065567,-0.688230507839271,-2.22781735042074,0,24,"AT2G39210;AT4G38540;AT5G24530;AT2G02930;AT3G01290;AT3G11340;AT5G09440;AT5G20230;AT5G58950;AT4G10500;AT1G59870;AT1G02360","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0003333 (amino acid transmembrane transport)",0.161290322580645,0.311950755579646,-0.35371891363943,-1.23614927039652,779,34,"AT3G30390;AT5G40780;AT5G41800;AT3G11900;AT2G40420;AT5G04770;AT4G38250;AT3G55740;AT2G41190;AT1G80510;AT3G56200;AT1G24400;AT1G08230;AT5G02170;AT5G02180","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0005975 (carbohydrate metabolic process)",0.000191681042744873,0.00186712983065567,0.372432746691091,1.77383538560399,0,191,"AT2G05790;AT4G36360;AT3G62110;AT3G06770;AT4G34260;AT3G18080;AT3G54690;AT4G23820;AT5G51820;AT3G29320;AT4G10060;AT1G45130;AT5G63810;AT1G55120;AT5G12950;AT2G28470;AT2G41540;AT3G13560;AT5G42100;AT3G62750;AT2G36870;AT1G76130;AT4G29360;AT3G55440;AT3G52840;AT3G61610;AT1G64760;AT1G26560;AT1G05590;AT3G26380;AT2G32810;AT5G66530;AT1G09780;AT5G58480;AT5G49215;AT3G07320;AT2G44450;AT3G03640;AT3G02570;AT3G46970;AT3G15720;AT2G39930;AT1G32860;AT4G18340;AT5G26000;AT5G25980;AT5G15490;AT5G42720;AT4G34700;AT4G34480;AT2G32860;AT3G61490;AT1G22650;AT2G40690;AT5G61410;AT3G42950;AT5G40610;AT2G28100;AT1G64770;AT1G55370;AT5G17520;AT3G20440;AT2G21370;AT1G66250;AT2G22620;AT4G26140;AT1G52400;AT1G11820","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0005982 (starch metabolic process)",0.751915510457652,0.840097237988132,-0.280435299496533,-0.792907579282241,3630,15,"AT4G02280;AT3G01090","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0005983 (starch catabolic process)",0.0562536245892132,0.145968456908217,0.523975949823977,1.48656307154184,290,15,"AT1G69830;AT5G64860;AT2G40840;AT5G04360;AT3G10940;AT3G52180;AT5G26570;AT5G17520;AT4G17090","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0005985 (sucrose metabolic process)",0.21496653822754,0.371867402336147,-0.396725396591401,-1.20502318694034,1059,19,"AT1G62660;AT4G02280;AT3G22200","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0005992 (trehalose biosynthetic process)",0.159156083572306,0.311077799709508,-0.436944814540148,-1.28362117745172,776,17,"AT1G23870;AT1G70290;AT2G18700;AT1G60140","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006002 (fructose 6-phosphate metabolic process)",0.541851923448676,0.680991352643221,0.330326294440598,0.937162995819963,2802,15,"AT3G55800;AT1G12000","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006006 (glucose metabolic process)",0.0207059751528298,0.0700280732696829,0.537523964599338,1.62010591891378,104,19,"AT1G42970;AT1G24280;AT5G13110;AT1G12900;AT5G64860;AT5G35790;AT5G55120","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006012 (galactose metabolic process)",0.0238144543383723,0.0774935216848656,-0.577931620661914,-1.6340537840721,114,15,"AT2G47180;AT1G12780;AT4G10960;AT4G23920;AT4G16130","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006094 (gluconeogenesis)",0.00731080814068366,0.0313630649046536,0.558237819021356,1.74432077953123,36,22,"AT3G12780;AT3G55800;AT2G21170;AT3G55440;AT4G38970;AT2G21330;AT3G54050;AT1G56190;AT1G13440;AT4G26520","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006096 (glycolytic process)",0.0113591852722288,0.0441927533952074,0.433007603261505,1.60306252586557,57,44,"AT3G12780;AT2G21170;AT3G55440;AT1G09780;AT1G74030;AT4G38970;AT1G22170;AT2G21330;AT1G78050;AT1G56190;AT1G13440;AT2G29560;AT4G26520;AT3G52990;AT2G36530","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006098 (pentose-phosphate shunt)",0.399153737658674,0.569408886423038,-0.337954641272578,-1.04076655534026,1980,20,"AT1G09420;AT3G01850;AT2G36460;AT5G24410","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006099 (tricarboxylic acid cycle)",0.255741775294848,0.424122723767213,-0.31550934139839,-1.13293396071429,1235,38,"AT2G42790;AT5G65750;AT2G05710;AT4G26970;AT3G58750;AT4G26910;AT2G44350;AT4G35830;AT5G67490;AT2G17130","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006108 (malate metabolic process)",0.724750927915608,0.823207657745653,0.282861362301288,0.813925339227319,3709,16,"AT1G53240;AT2G47510;AT5G12040;AT4G00570;AT5G58330","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006260 (DNA replication)",0.000193461017604953,0.00186712983065567,0.596321888177798,2.13668707946986,0,38,"AT2G21790;AT2G40550;AT2G31270;AT4G12620;AT5G52950;AT1G10930;AT1G14460;AT2G24490;AT2G02480;AT4G24790;AT5G16690;AT1G26840;AT1G60930;AT2G37560;AT5G44785;AT1G08130;AT1G31360;AT3G27060;AT2G01120;AT5G51795;AT4G11060;AT3G18580;AT1G79950;AT3G02920","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006261 (DNA-templated DNA replication)",0.03601108033241,0.105749611512736,0.49981246499546,1.5432978723551,181,21,"AT3G42660;AT2G40550;AT1G14460;AT2G02480;AT5G27740;AT4G24790;AT5G13060;AT5G49010;AT5G63960;AT5G22110","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006270 (DNA replication initiation)",0.000198452073824171,0.00186712983065567,0.760108317333301,2.31268465799277,0,20,"AT2G16440;AT2G07690;AT5G46280;AT1G44900;AT4G02060;AT5G44635;AT1G67630;AT4G12620;AT1G67320;AT2G29680;AT1G79150;AT2G20980;AT5G16690;AT1G26840;AT5G49010;AT3G25100","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006281 (DNA repair)",0.5046565774156,0.656162547741233,0.215224094691364,0.97644928174462,2600,135,"AT3G42660;AT3G46940;AT3G14890;AT1G04020;AT1G08260;AT5G08020;AT2G36490;AT1G76710;AT1G10930;AT1G14460;AT3G50000;AT2G24490;AT2G02480;AT2G31320;AT5G27740;AT5G27680;AT5G65740;AT4G24790;AT4G30825;AT1G60930;AT4G21070;AT1G14410;AT5G63920;AT1G31360;AT5G22750;AT3G18630;AT1G52500;AT5G52910;AT3G27060;AT5G56950;AT2G02740;AT3G10140;AT1G77620;AT1G77600;AT1G71260;AT5G46740;AT5G49110","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006284 (base-excision repair)",0.0273017138302112,0.0851587136051148,0.489660313382597,1.56252746442362,136,24,"AT3G12710;AT5G44680;AT2G36490;AT1G15970;AT5G57970;AT3G10010;AT3G48425;AT3G18630;AT1G52500;AT5G04560;AT1G80850","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006289 (nucleotide-excision repair)",0.948315911730546,0.982592390467795,0.188947389152711,0.66004638873561,4898,34,"AT1G20720;AT5G08020;AT5G61000;AT2G24490","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006298 (mismatch repair)",0.0682389329209356,0.167672806605728,0.512513174828604,1.45404223158489,352,15,"AT2G29570;AT1G07370;AT3G18524;AT1G65070;AT2G25100;AT3G24495;AT3G20475","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006302 (double-strand break repair)",1,1,0.117110307218833,0.383103053431368,5066,26,"AT2G31320;AT1G08130;AT5G21140;AT5G61460;AT1G34770;AT2G31970;AT1G11800;AT1G10520;AT5G54260;AT4G29170;AT5G57450;AT4G02390;AT5G20850;AT4G32700;AT5G43500;AT5G40840;AT1G48050;AT1G61410;AT3G20540;AT3G07800;AT5G42470;AT3G06820;AT5G57160;AT1G50840;AT1G80210;AT5G16270","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006303 (double-strand break repair via nonhomologous end joining)",0.53447918823773,0.675958973359482,-0.332925765544876,-0.941320023951329,2580,15,"AT5G40820;AT1G80420;AT2G45700;AT1G19025;AT5G57160","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006310 (DNA recombination)",0.199135899450118,0.357715398863128,0.366023167150059,1.20931567916735,1013,27,"AT3G05740;AT1G10930;AT5G27680;AT5G64630;AT1G60930;AT4G21070;AT1G65470;AT5G63920;AT1G31360;AT1G27880","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006325 (chromatin organization)",0.858730800323363,0.916363897637324,-0.23322549039746,-0.727093983798457,4248,21,"AT1G04400;AT1G18450;AT1G21610;AT4G15890;AT1G20900;AT5G17690","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006334 (nucleosome assembly)",0.26691042047532,0.440219378427788,-0.341219394349234,-1.14013132713391,1313,28,"AT1G48620;AT2G18050;AT3G18035;AT2G22720;AT1G17520","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006338 (chromatin remodeling)",0.568901686548745,0.697512862122902,-0.223635984355759,-0.946148865376453,2765,82,"AT1G04400;AT1G06230;AT2G44980;AT3G63070;AT1G30810;AT3G07220;AT4G02020;AT3G07740;AT1G18450;AT1G02580;AT1G04870;AT5G23150;AT5G63950;AT4G38495;AT2G47210;AT4G16420;AT3G49830;AT3G48710;AT3G57300;AT2G18000;AT3G22990;AT1G56460;AT2G48160;AT1G73150;AT5G04240;AT2G19520;AT3G44530;AT4G26630;AT3G06400;AT2G47620;AT2G38950;AT3G33520","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006351 (DNA-templated transcription)",0.853325046612803,0.91243637310996,-0.191120693142243,-0.810333077972083,4118,84,"AT1G08320;AT3G05380;AT5G65210;AT5G61380;AT5G06839;AT3G61420;AT4G40050;AT3G10490;AT3G12250;AT5G06960;AT3G10480;AT5G06950;AT4G18890;AT4G21710;AT5G45830;AT1G78700;AT3G21430;AT5G15700;AT1G75080;AT5G25520;AT3G03570;AT4G35040","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006352 (DNA-templated transcription initiation)",0.791494388659185,0.861626802844176,0.237656137794067,0.790899275990269,4019,28,"AT1G08540;AT2G36990;AT2G45100;AT4G15950;AT3G57290;AT1G64860","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006357 (regulation of transcription by RNA polymerase II)",0.00508797964808141,0.0237439050243799,-0.285782416389667,-1.42307468805191,23,252,"AT4G32040;AT2G24260;AT4G18880;AT2G35940;AT4G02880;AT3G05380;AT4G16150;AT4G08150;AT1G06230;AT5G51780;AT1G05805;AT1G75410;AT3G04740;AT1G30500;AT3G16940;AT5G12840;AT1G03040;AT3G05690;AT5G25220;AT5G14170;AT5G20240;AT2G38560;AT2G34720;AT5G64220;AT2G42280;AT5G13020;AT1G72830;AT4G00450;AT2G32080;AT3G07740;AT1G08970;AT1G18450;AT3G51910;AT1G76510;AT3G01890;AT5G62020;AT4G25400;AT1G67310;AT3G56980;AT5G41410;AT1G72390;AT4G36990;AT3G09180;AT4G11660;AT5G47640;AT3G21430;AT2G26430;AT2G17410;AT1G55325;AT5G12230;AT5G09410;AT3G61740;AT2G22300;AT3G24050;AT3G02990;AT4G19600;AT5G25520;AT1G19700;AT4G33890;AT4G08350;AT4G35040;AT4G16420;AT3G54810;AT3G49830;AT3G57390;AT5G16820;AT5G64610;AT1G79000;AT1G26665;AT2G18000;AT2G45660;AT2G14850;AT3G51960;AT3G53340;AT1G20910;AT1G67970;AT5G03500;AT3G22990;AT5G10140;AT3G08020;AT1G56170;AT5G04670;AT5G53430;AT1G22490;AT1G73150;AT5G11430;AT4G09180;AT5G25830;AT1G77800;AT5G27610;AT4G02590;AT1G23230;AT2G38880;AT1G27630;AT2G14210;AT5G65060;AT2G23760;AT5G51790;AT2G37060;AT5G20170;AT1G79020;AT3G07610;AT5G04150;AT5G14960;AT1G23380;AT5G22220;AT5G02850;AT1G49950;AT4G34680;AT3G20910;AT3G52100;AT5G66320;AT1G77080;AT5G45190;AT5G60440;AT4G17750;AT1G62990;AT3G24520","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006364 (rRNA processing)",0.00019588638589618,0.00186712983065567,0.457616535638234,1.92969925523641,0,87,"AT3G63140;AT5G16130;AT1G09340;AT1G48830;AT3G17170;AT1G25260;AT5G18570;AT3G19810;AT4G14510;AT3G02560;AT2G04270;AT1G70200;AT1G52930;AT1G29250;AT4G02400;AT1G31660;AT5G66470;AT3G23620;AT5G10605;AT3G01160;AT5G48240;AT1G59760;AT5G10620;AT4G25630;AT5G12220;AT5G46420;AT3G22660;AT1G12244;AT1G31970;AT3G49180;AT5G16750;AT5G08600;AT4G01560;AT2G17250;AT3G11964;AT1G04635;AT5G38720;AT1G63810;AT3G27970;AT5G43720;AT5G57280;AT5G61770;AT3G52905;AT2G01640;AT3G15080;AT2G19385;AT4G32720;AT1G49970;AT5G02250;AT3G15460;AT2G43650;AT1G77030;AT5G35910;AT5G54910;AT1G26550","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006366 (transcription by RNA polymerase II)",0.508025682182986,0.656418683870602,-0.29810679734322,-0.964978285378019,2531,24,"AT3G61420;AT4G35800;AT1G31240;AT1G07480;AT1G07470;AT1G02680;AT1G16210;AT3G02160;AT4G34340","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006367 (transcription initiation at RNA polymerase II promoter)",0.121266786931249,0.252589178945307,-0.413331855248268,-1.32226568121273,604,23,"AT4G24440;AT4G31720;AT5G25150;AT5G41370;AT1G07480;AT5G43130;AT1G07470","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0006368 (transcription elongation by RNA polymerase II)",0.423305345074749,0.592627483104649,-0.353222042260269,-1.02193671296577,2066,16,"AT2G38560;AT4G10710;AT4G08350;AT2G42780;AT1G65440;AT2G19560;AT1G79730;AT1G71080;AT5G08565","OSD-321",-0.43,"whole_seedling","dark",FALSE
