osd_id,sample_name,organism,condition,ecotype,genotype,tissue,hardware,light_regime,harvest_age_days,zt_known,zt_hours,study_title,assay_technology,platform,study_type
OSD-7,Atha_WS-0_Whole-Plant_FLT_Rep1,Arabidopsis thaliana,flight,Ws,Wild Type,whole_seedling,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Whole-Plant_FLT_Rep2,Arabidopsis thaliana,flight,Ws,Wild Type,whole_seedling,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Whole-Plant_FLT_Rep3,Arabidopsis thaliana,flight,Ws,Wild Type,whole_seedling,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Whole-Plant_GC_Rep1,Arabidopsis thaliana,ground_control,Ws,Wild Type,whole_seedling,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Whole-Plant_GC_Rep2,Arabidopsis thaliana,ground_control,Ws,Wild Type,whole_seedling,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Whole-Plant_GC_Rep3,Arabidopsis thaliana,ground_control,Ws,Wild Type,whole_seedling,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Shoot_FLT_Rep1,Arabidopsis thaliana,flight,Ws,Wild Type,shoot,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Shoot_FLT_Rep2,Arabidopsis thaliana,flight,Ws,Wild Type,shoot,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Shoot_FLT_Rep3,Arabidopsis thaliana,flight,Ws,Wild Type,shoot,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Shoot_FLT_Rep4,Arabidopsis thaliana,flight,Ws,Wild Type,shoot,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Shoot_FLT_Rep5,Arabidopsis thaliana,flight,Ws,Wild Type,shoot,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Shoot_GC_Rep1,Arabidopsis thaliana,ground_control,Ws,Wild Type,shoot,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Shoot_GC_Rep2,Arabidopsis thaliana,ground_control,Ws,Wild Type,shoot,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Shoot_GC_Rep3,Arabidopsis thaliana,ground_control,Ws,Wild Type,shoot,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Shoot_GC_Rep4,Arabidopsis thaliana,ground_control,Ws,Wild Type,shoot,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Shoot_GC_Rep5,Arabidopsis thaliana,ground_control,Ws,Wild Type,shoot,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Hypocotyl_FLT_Rep1,Arabidopsis thaliana,flight,Ws,Wild Type,hypocotyl,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Hypocotyl_FLT_Rep2,Arabidopsis thaliana,flight,Ws,Wild Type,hypocotyl,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Hypocotyl_FLT_Rep3,Arabidopsis thaliana,flight,Ws,Wild Type,hypocotyl,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Hypocotyl_FLT_Rep4,Arabidopsis thaliana,flight,Ws,Wild Type,hypocotyl,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Hypocotyl_FLT_Rep5,Arabidopsis thaliana,flight,Ws,Wild Type,hypocotyl,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Hypocotyl_GC_Rep1,Arabidopsis thaliana,ground_control,Ws,Wild Type,hypocotyl,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Hypocotyl_GC_Rep2,Arabidopsis thaliana,ground_control,Ws,Wild Type,hypocotyl,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Hypocotyl_GC_Rep3,Arabidopsis thaliana,ground_control,Ws,Wild Type,hypocotyl,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Hypocotyl_GC_Rep4,Arabidopsis thaliana,ground_control,Ws,Wild Type,hypocotyl,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Hypocotyl_GC_Rep5,Arabidopsis thaliana,ground_control,Ws,Wild Type,hypocotyl,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Root_FLT_Rep1,Arabidopsis thaliana,flight,Ws,Wild Type,root,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
