osd_id,sample_name,organism,condition,ecotype,genotype,tissue,hardware,light_regime,harvest_age_days,zt_known,zt_hours,study_title,assay_technology,platform,study_type
OSD-7,Atha_WS-0_Col-0_Root_FLT_Rep2,Arabidopsis thaliana,flight,Ws,Wild Type,root,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Root_FLT_Rep3,Arabidopsis thaliana,flight,Ws,Wild Type,root,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Root_FLT_Rep4,Arabidopsis thaliana,flight,Ws,Wild Type,root,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Root_FLT_Rep5,Arabidopsis thaliana,flight,Ws,Wild Type,root,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Root_GC_Rep1,Arabidopsis thaliana,ground_control,Ws,Wild Type,root,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Root_GC_Rep2,Arabidopsis thaliana,ground_control,Ws,Wild Type,root,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Root_GC_Rep3,Arabidopsis thaliana,ground_control,Ws,Wild Type,root,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Root_GC_Rep4,Arabidopsis thaliana,ground_control,Ws,Wild Type,root,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-7,Atha_WS-0_Col-0_Root_GC_Rep5,Arabidopsis thaliana,ground_control,Ws,Wild Type,root,Advanced Biological Research System (ABRS),unknown,12.0,False,,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",DNA microarray,"['Advanced Plant Experiment (APEX)', 'The Transgenic Arabidopsis Gene Expression System (TAGES)', 'Orbital Environmental Simulator (OES)']",
OSD-17,Atha_Col-0_sl_FLT_BA1,Arabidopsis thaliana,flight,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_sl_FLT_BA2,Arabidopsis thaliana,flight,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_sl_FLT_BA3,Arabidopsis thaliana,flight,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_sl_FLT_BA4,Arabidopsis thaliana,flight,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_sl_FLT_BA5,Arabidopsis thaliana,flight,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_sl_FLT_BG1,Arabidopsis thaliana,flight,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_sl_GC_BA1,Arabidopsis thaliana,ground_control,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_sl_GC_BA2,Arabidopsis thaliana,ground_control,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_sl_GC_BA3,Arabidopsis thaliana,ground_control,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_sl_GC_BA4,Arabidopsis thaliana,ground_control,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_sl_GC_BA5,Arabidopsis thaliana,ground_control,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_sl_GC_BG1,Arabidopsis thaliana,ground_control,Col-0,Wild Type,whole_seedling,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_FLT_BB2,Arabidopsis thaliana,flight,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_FLT_BB3,Arabidopsis thaliana,flight,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_FLT_BB4,Arabidopsis thaliana,flight,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_FLT_BB5,Arabidopsis thaliana,flight,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_FLT_BG2,Arabidopsis thaliana,flight,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_FLT_BG3,Arabidopsis thaliana,flight,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_GC_BB2,Arabidopsis thaliana,ground_control,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_GC_BB3,Arabidopsis thaliana,ground_control,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_GC_BB4,Arabidopsis thaliana,ground_control,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_GC_BB5,Arabidopsis thaliana,ground_control,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_GC_BG2,Arabidopsis thaliana,ground_control,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-17,Atha_Col-0_UdCC_GC_BG3,Arabidopsis thaliana,ground_control,Col-0,Wild Type,cell_culture,,unknown,7.0,False,,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,DNA microarray,Biological Research in Canisters (BRIC),
OSD-37,Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1,Arabidopsis thaliana,flight,Ws-2,Wild Type,whole_seedling,BRIC-PDFU (Petri Dish Fixation Unit),dark,8.0,False,,Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,RNA Sequencing (RNA-Seq),Biological Reseach In a Canister (BRIC),
OSD-37,Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2,Arabidopsis thaliana,flight,Ler-0,Wild Type,whole_seedling,BRIC-PDFU (Petri Dish Fixation Unit),dark,8.0,False,,Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,RNA Sequencing (RNA-Seq),Biological Reseach In a Canister (BRIC),
OSD-37,Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3,Arabidopsis thaliana,flight,Cvi-0,Wild Type,whole_seedling,BRIC-PDFU (Petri Dish Fixation Unit),dark,8.0,False,,Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,RNA Sequencing (RNA-Seq),Biological Reseach In a Canister (BRIC),
OSD-37,Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4,Arabidopsis thaliana,flight,Ws-2,Wild Type,whole_seedling,BRIC-PDFU (Petri Dish Fixation Unit),dark,8.0,False,,Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,RNA Sequencing (RNA-Seq),Biological Reseach In a Canister (BRIC),
OSD-37,Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5,Arabidopsis thaliana,flight,Ler-0,Wild Type,whole_seedling,BRIC-PDFU (Petri Dish Fixation Unit),dark,8.0,False,,Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,RNA Sequencing (RNA-Seq),Biological Reseach In a Canister (BRIC),
OSD-37,Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1,Arabidopsis thaliana,flight,Ws-2,Wild Type,whole_seedling,BRIC-PDFU (Petri Dish Fixation Unit),dark,8.0,False,,Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,RNA Sequencing (RNA-Seq),Biological Reseach In a Canister (BRIC),
OSD-37,Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2,Arabidopsis thaliana,flight,Cvi-0,Wild Type,whole_seedling,BRIC-PDFU (Petri Dish Fixation Unit),dark,8.0,False,,Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,RNA Sequencing (RNA-Seq),Biological Reseach In a Canister (BRIC),
OSD-37,Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3,Arabidopsis thaliana,flight,Ler-0,Wild Type,whole_seedling,BRIC-PDFU (Petri Dish Fixation Unit),dark,8.0,False,,Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,RNA Sequencing (RNA-Seq),Biological Reseach In a Canister (BRIC),
OSD-37,Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4,Arabidopsis thaliana,flight,Ws-2,Wild Type,whole_seedling,BRIC-PDFU (Petri Dish Fixation Unit),dark,8.0,False,,Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,RNA Sequencing (RNA-Seq),Biological Reseach In a Canister (BRIC),
OSD-37,Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5,Arabidopsis thaliana,flight,Cvi-0,Wild Type,whole_seedling,BRIC-PDFU (Petri Dish Fixation Unit),dark,8.0,False,,Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,RNA Sequencing (RNA-Seq),Biological Reseach In a Canister (BRIC),
OSD-37,Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1,Arabidopsis thaliana,ground_control,Ws-2,Wild Type,whole_seedling,BRIC-PDFU (Petri Dish Fixation Unit),dark,8.0,False,,Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,RNA Sequencing (RNA-Seq),Biological Reseach In a Canister (BRIC),
