gene,sample_name,expression,gene_name,osd_id
AT1G01060,Atha_WS-0_Whole-Plant_FLT_Rep1,-0.5310971175734052,LHY,OSD-7
AT2G40080,Atha_WS-0_Whole-Plant_FLT_Rep1,1.099815585372172,ELF4,OSD-7
AT2G42830,Atha_WS-0_Whole-Plant_FLT_Rep1,0.2395245245997624,PRR9,OSD-7
AT2G46830,Atha_WS-0_Whole-Plant_FLT_Rep1,1.3252080504641608,CCA1,OSD-7
AT3G09600,Atha_WS-0_Whole-Plant_FLT_Rep1,1.5997492307260686,GI,OSD-7
AT3G09600,Atha_WS-0_Whole-Plant_FLT_Rep1,1.01363810244115,GI,OSD-7
AT3G26740,Atha_WS-0_Whole-Plant_FLT_Rep1,0.8492001043783175,ELF3,OSD-7
AT5G02810,Atha_WS-0_Whole-Plant_FLT_Rep1,1.5482712094164697,PRR7,OSD-7
AT5G24470,Atha_WS-0_Whole-Plant_FLT_Rep1,2.9545952927874857,PRR5,OSD-7
AT5G61380,Atha_WS-0_Whole-Plant_FLT_Rep1,-1.1006144716955226,TOC1,OSD-7
AT1G01060,Atha_WS-0_Whole-Plant_FLT_Rep2,0.44368954239589675,LHY,OSD-7
AT2G40080,Atha_WS-0_Whole-Plant_FLT_Rep2,1.289725377882426,ELF4,OSD-7
AT2G42830,Atha_WS-0_Whole-Plant_FLT_Rep2,1.2926145493576264,PRR9,OSD-7
AT2G46830,Atha_WS-0_Whole-Plant_FLT_Rep2,1.6605117820699298,CCA1,OSD-7
AT3G09600,Atha_WS-0_Whole-Plant_FLT_Rep2,2.468305174917971,GI,OSD-7
AT3G09600,Atha_WS-0_Whole-Plant_FLT_Rep2,-0.6914242903296408,GI,OSD-7
AT3G26740,Atha_WS-0_Whole-Plant_FLT_Rep2,0.4006482173947315,ELF3,OSD-7
AT5G02810,Atha_WS-0_Whole-Plant_FLT_Rep2,-0.17257838932682595,PRR7,OSD-7
AT5G24470,Atha_WS-0_Whole-Plant_FLT_Rep2,0.40378637501702236,PRR5,OSD-7
AT5G61380,Atha_WS-0_Whole-Plant_FLT_Rep2,0.7213189904317371,TOC1,OSD-7
AT1G01060,Atha_WS-0_Whole-Plant_FLT_Rep3,-0.6542935971353334,LHY,OSD-7
