Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Term Source REF	Term Accession Number	Characteristics[stratification exposure]	Unit	Term Source REF	Term Accession Number	Factor Value[Organism Part]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Characteristics[developmental stage]	Protocol REF	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Parameter Value[Quantity of growth medium]	Unit	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Color]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Age at sample harvest]	Unit	Term Source REF	Term Accession Number
20220218_SOL-MIX2_Frac1.raw	20220218_SOL-MIX2_Frac1	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Internal lab stock maintained by UF Space Plants Laboratory, University of Florida	2 rosette leaves are greater than 1 mm in length	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	60	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station	RBO	http://purl.obolibrary.org/obo/RBO_00000034	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	0.5x + Benomyl Murashige and Skoog (MS) growth media with Gamborg’s B5 vitamins, 0.5% (w/v) sucrose and 0.75% (w/v) phytagel	6.7	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	4:2 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	85% red and 15% blue	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	13	day	UO	http://purl.obolibrary.org/obo/UO_0000033
20220218_SOL-MIX2_Frac2.raw	20220218_SOL-MIX2_Frac2	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Internal lab stock maintained by UF Space Plants Laboratory, University of Florida	2 rosette leaves are greater than 1 mm in length	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	60	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station	RBO	http://purl.obolibrary.org/obo/RBO_00000034	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	0.5x + Benomyl Murashige and Skoog (MS) growth media with Gamborg’s B5 vitamins, 0.5% (w/v) sucrose and 0.75% (w/v) phytagel	6.7	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	4:2 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	85% red and 15% blue	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	13	day	UO	http://purl.obolibrary.org/obo/UO_0000033
20220218_SOL-MIX2_Frac3.raw	20220218_SOL-MIX2_Frac3	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Internal lab stock maintained by UF Space Plants Laboratory, University of Florida	2 rosette leaves are greater than 1 mm in length	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	60	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station	RBO	http://purl.obolibrary.org/obo/RBO_00000034	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	0.5x + Benomyl Murashige and Skoog (MS) growth media with Gamborg’s B5 vitamins, 0.5% (w/v) sucrose and 0.75% (w/v) phytagel	6.7	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	4:2 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	85% red and 15% blue	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	13	day	UO	http://purl.obolibrary.org/obo/UO_0000033
20220218_SOL-MIX2_Frac4.raw	20220218_SOL-MIX2_Frac4	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Ground Control	OSD	https://osdr.nasa.gov/	Internal lab stock maintained by UF Space Plants Laboratory, University of Florida	2 rosette leaves are greater than 1 mm in length	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	60	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	0.5x + Benomyl Murashige and Skoog (MS) growth media with Gamborg’s B5 vitamins, 0.5% (w/v) sucrose and 0.75% (w/v) phytagel	6.7	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	4:2 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	85% red and 15% blue	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	13	day	UO	http://purl.obolibrary.org/obo/UO_0000033
20220218_SOL-MIX2_Frac5.raw	20220218_SOL-MIX2_Frac5	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Ground Control	OSD	https://osdr.nasa.gov/	Internal lab stock maintained by UF Space Plants Laboratory, University of Florida	2 rosette leaves are greater than 1 mm in length	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	60	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	0.5x + Benomyl Murashige and Skoog (MS) growth media with Gamborg’s B5 vitamins, 0.5% (w/v) sucrose and 0.75% (w/v) phytagel	6.7	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	4:2 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	85% red and 15% blue	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	13	day	UO	http://purl.obolibrary.org/obo/UO_0000033
20220218_SOL-MIX2_Frac6.raw	20220218_SOL-MIX2_Frac6	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Ground Control	OSD	https://osdr.nasa.gov/	Internal lab stock maintained by UF Space Plants Laboratory, University of Florida	2 rosette leaves are greater than 1 mm in length	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	60	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	0.5x + Benomyl Murashige and Skoog (MS) growth media with Gamborg’s B5 vitamins, 0.5% (w/v) sucrose and 0.75% (w/v) phytagel	6.7	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	4:2 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	85% red and 15% blue	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	13	day	UO	http://purl.obolibrary.org/obo/UO_0000033
20220218_SOL-MIX1_Frac1.raw	20220218_SOL-MIX1_Frac1	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Internal lab stock maintained by UF Space Plants Laboratory, University of Florida	2 rosette leaves are greater than 1 mm in length	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	60	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station	RBO	http://purl.obolibrary.org/obo/RBO_00000034	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	0.5x + Benomyl Murashige and Skoog (MS) growth media with Gamborg’s B5 vitamins, 0.5% (w/v) sucrose and 0.75% (w/v) phytagel	6.7	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	4:2 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	85% red and 15% blue	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	13	day	UO	http://purl.obolibrary.org/obo/UO_0000033
20220218_SOL-MIX1_Frac2.raw	20220218_SOL-MIX1_Frac2	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Internal lab stock maintained by UF Space Plants Laboratory, University of Florida	2 rosette leaves are greater than 1 mm in length	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	60	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station	RBO	http://purl.obolibrary.org/obo/RBO_00000034	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	0.5x + Benomyl Murashige and Skoog (MS) growth media with Gamborg’s B5 vitamins, 0.5% (w/v) sucrose and 0.75% (w/v) phytagel	6.7	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	4:2 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	85% red and 15% blue	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	13	day	UO	http://purl.obolibrary.org/obo/UO_0000033
20220218_SOL-MIX1_Frac3.raw	20220218_SOL-MIX1_Frac3	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Internal lab stock maintained by UF Space Plants Laboratory, University of Florida	2 rosette leaves are greater than 1 mm in length	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	60	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station	RBO	http://purl.obolibrary.org/obo/RBO_00000034	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	0.5x + Benomyl Murashige and Skoog (MS) growth media with Gamborg’s B5 vitamins, 0.5% (w/v) sucrose and 0.75% (w/v) phytagel	6.7	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	4:2 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	85% red and 15% blue	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	13	day	UO	http://purl.obolibrary.org/obo/UO_0000033
20220218_SOL-MIX1_Frac4.raw	20220218_SOL-MIX1_Frac4	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Ground Control	OSD	https://osdr.nasa.gov/	Internal lab stock maintained by UF Space Plants Laboratory, University of Florida	2 rosette leaves are greater than 1 mm in length	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	60	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	0.5x + Benomyl Murashige and Skoog (MS) growth media with Gamborg’s B5 vitamins, 0.5% (w/v) sucrose and 0.75% (w/v) phytagel	6.7	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	4:2 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	85% red and 15% blue	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	13	day	UO	http://purl.obolibrary.org/obo/UO_0000033
