Sample Name	Protocol REF	Extract Name	Protocol REF	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Parameter Value[Chromatography]	Parameter Value[Ion Source]	Parameter Value[Dissociation]	Parameter Value[Detector]	Parameter Value[Analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Parameter Value[Peptide File Name]	Parameter Value[Protein File Name]
20220218_MEM-MIX4_Frac1	Extraction	MIX4-MEM-SHOOT-Frac1	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX4_Frac1.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Proteins.csv
20220218_MEM-MIX4_Frac2	Extraction	MIX-4-MEM-SHOOT-Frac2	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX4_Frac2.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Proteins.csv
20220218_MEM-MIX4_Frac3	Extraction	MIX4-MEM-SHOOT-Frac3	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX4_Frac3.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Proteins.csv
20220218_MEM-MIX4_Frac4	Extraction	MIX4-MEM-SHOOT-Frac4	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX4_Frac4.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Proteins.csv
20220218_MEM-MIX4_Frac5	Extraction	MIX4-MEM-SHOOT-Frac5	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX4_Frac5.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Proteins.csv
20220218_MEM-MIX4_Frac6	Extraction	MIX4-MEM-SHOOT-Frac6	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX4_Frac6.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_MEM_Report_20220223_Proteins.csv
20220218_MEM-MIX3_Frac1	Extraction	MIX3-MEM-ROOT-Frac1	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX3_Frac1.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Proteins.csv
20220218_MEM-MIX3_Frac2	Extraction	MIX3-MEM-ROOT-Frac2	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX3_Frac2.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Proteins.csv
20220218_MEM-MIX3_Frac3	Extraction	MIX3-MEM-ROOT-Frac3	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX3_Frac3.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Proteins.csv
20220218_MEM-MIX3_Frac4	Extraction	MIX3-MEM-ROOT-Frac4	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX3_Frac4.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Proteins.csv
20220218_MEM-MIX3_Frac5.raw	Extraction	MIX3-MEM-ROOT-Frac5	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX3_Frac5.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Proteins.csv
20220218_MEM-MIX3_Frac6	Extraction	MIX3-MEM-ROOT-Frac6	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_MEM-MIX3_Frac6.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Root_MEM_Report_20220223_Proteins.csv
20220218_SOL-MIX2_Frac1	Extraction	MIX2-SOL-SHOOT-Frac1	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_SOL-MIX2_Frac1.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Proteins.csv
20220218_SOL-MIX2_Frac2	Extraction	MIX2-SOL-SHOOT-Frac2	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_SOL-MIX2_Frac2.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Proteins.csv
20220218_SOL-MIX2_Frac3	Extraction	MIX2-SOL-SHOOT-Frac3	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_SOL-MIX2_Frac3.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Proteins.csv
20220218_SOL-MIX2_Frac4	Extraction	MIX2-SOL-SHOOT-Frac4	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_SOL-MIX2_Frac4.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Proteins.csv
20220218_SOL-MIX2_Frac5	Extraction	MIX2-SOL-SHOOT-Frac5	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_SOL-MIX2_Frac5.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Proteins.csv
20220218_SOL-MIX2_Frac6	Extraction	MIX2-SOL-SHOOT-Frac6	Labeling	Tandem Mass Tag	OSD	https://osdr.nasa.gov/	Mass Spectrometry	Eclipse mass spectrometer	high pH reverse phase C18 chromatography	Electrospray ionization (ESI)	Higher-energy Collisional Dissociation (HCD)	Eclipse Orbitrap Detector	UHF Orbitrap mass analyzers	CB-X protein assay	GLDS-522_proteomics_20220218_SOL-MIX2_Frac6.raw	Proteomics Data Processing and Analysis	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Peptides.csv	GLDS-522_proteomics_GO_Shoot_SOL_Report_20220223_Proteins.csv
