Stratum,N_Studies,Pooled_Effect_h,CI_95_Lower,CI_95_Upper,P_Value,I2_pct,Tau2,Notes
LD_16:8,2.0,0.143,-0.02,0.307,0.0859,0.0,0.0,
continuous_light,3.0,0.009,-0.194,0.212,0.9320,46.449,0.015,
dark,6.0,-0.197,-0.368,-0.026,0.0240,91.835,0.04,
unknown,7.0,-0.093,-0.181,-0.005,0.0385,59.557,0.007,
