osd_num,sample,organism,tissue,sequencing_instrument,library_selection,library_layout,strandedness,read_depth,read_length,rrna_contamination,rin,organism_part,cell_line,cell_type,secondary_organism,strain,animal_source,seed_source,source_accession,mix,gene_detected_gt10,gene_total,gene_detected_gt10_pct,raw_total_sequences_f,raw_avg_sequence_length_f,raw_median_sequence_length_f,raw_quality_score_mean_f,raw_quality_score_median_f,raw_percent_duplicates_f,raw_percent_gc_f,raw_gc_min_1pct_f,raw_gc_max_1pct_f,raw_gc_auc_25pct_f,raw_gc_auc_50pct_f,raw_gc_auc_75pct_f,raw_n_content_sum_f,raw_total_sequences_r,raw_avg_sequence_length_r,raw_median_sequence_length_r,raw_quality_score_mean_r,raw_quality_score_median_r,raw_percent_duplicates_r,raw_percent_gc_r,raw_gc_min_1pct_r,raw_gc_max_1pct_r,raw_gc_auc_25pct_r,raw_gc_auc_50pct_r,raw_gc_auc_75pct_r,raw_n_content_sum_r,trimmed_total_sequences_f,trimmed_avg_sequence_length_f,trimmed_median_sequence_length_f,trimmed_quality_score_mean_f,trimmed_quality_score_median_f,trimmed_percent_duplicates_f,trimmed_percent_gc_f,trimmed_gc_min_1pct_f,trimmed_gc_max_1pct_f,trimmed_gc_auc_25pct_f,trimmed_gc_auc_50pct_f,trimmed_gc_auc_75pct_f,trimmed_n_content_sum_f,trimmed_total_sequences_r,trimmed_avg_sequence_length_r,trimmed_median_sequence_length_r,trimmed_quality_score_mean_r,trimmed_quality_score_median_r,trimmed_percent_duplicates_r,trimmed_percent_gc_r,trimmed_gc_min_1pct_r,trimmed_gc_max_1pct_r,trimmed_gc_auc_25pct_r,trimmed_gc_auc_50pct_r,trimmed_gc_auc_75pct_r,trimmed_n_content_sum_r,uniquely_mapped_percent,multimapped_percent,multimapped_toomany_percent,unmapped_tooshort_percent,unmapped_other_percent,total_reads,overall_alignment_rate,aligned_none,aligned_one,aligned_multi,total_count,num_assigned,pct_assigned,num_unassigned_nofeatures,num_unassigned_ambiguity,pct_unassigned_nofeatures,pct_unassigned_ambiguity,mean_genebody_cov_5_20,mean_genebody_cov_40_60,mean_genebody_cov_80_95,ratio_genebody_cov_3_to_5,pct_sense,pct_antisense,pct_undetermined,peak_inner_dist,peak_inner_dist_pct_reads,cds_exons_pct,5_utr_exons_pct,3_utr_exons_pct,introns_pct,tss_up_1kb_pct,tss_up_1kb_5kb_pct,tss_up_5kb_10kb_pct,tes_down_1kb_pct,tes_down_1kb_5kb_pct,tes_down_5kb_10kb_pct,other_intergenic_pct,num_uniquely_aligned,pct_uniquely_aligned,pct_multi_aligned,pct_filtered,pct_unalignable
OSD-522,GC-A2_S1_L001,Arabidopsis thaliana,,Illumina NovaSeq 6000,polyA enrichment,PAIRED,STRANDED,71436064,151,2.47,greater than 6,Plant Shoots,,,,Wild Type,,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",,,17162,32833,52.27058142722261,71436064.0,151.0,151,35.962857019323785,36.06108301403616,89.30687327146823,44.0,33.0,59.0,40,45,51,0.02225276577388138,71436064.0,151.0,151,34.93830948358315,35.064732464823365,85.6566317790789,44.0,34.0,59.0,40,45,49,2.313819249615992,71416647.0,150.01675508512741,151,35.99939291610405,36.069601436367584,89.31623172231065,44.0,33.0,59.0,40,45,51,0.022513187184663146,71416647.0,150.1298387475402,151,34.98337744343677,35.06916749263041,85.67783847802005,44.0,34.0,59.0,40,45,49,2.3289334164685593,67.41,30.62,0.0,1.87,0.09,,,,,,,,,,,,,46.05900877699547,98.55977422457394,51.83928185658903,1.1254971227796062,0.54,94.19999999999999,5.26,-38.5,2.757455905417915,64.82892133284658,8.38954281626239,1.9056722109770923,2.71449488800047,0.003683226115543599,0.005249280173377923,0.0014627194328577682,7.411310741992969,0.5333545402906212,0.0007435341981070209,14.205564709709995,37056209,83.78140925974695,13.048403839308452,0.0,3.1701869009445973
OSD-522,GC-B2_S2_L001,Arabidopsis thaliana,,Illumina NovaSeq 6000,polyA enrichment,PAIRED,STRANDED,80634700,151,1.01,greater than 6,Plant Shoots,,,,Wild Type,,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",,,18003,32833,54.832028751560934,80634700.0,151.0,151,35.92774119454776,36.01273093097636,89.03258161720358,43.0,32.0,55.0,40,45,50,0.0229794368925537,80634700.0,151.0,151,35.076904336796886,35.23726505338273,85.66567094219194,44.0,33.0,55.0,40,45,48,2.3083310287010432,80606188.0,149.7743321021458,151,35.96537007909821,36.017273758751564,89.04369976597346,43.0,32.0,55.0,40,45,50,0.023306325465976607,80606188.0,149.94207058892303,151,35.121026353178834,35.24733137680307,85.69865098111818,44.0,33.0,55.0,40,45,48,2.3290210086355936,67.94,29.9,0.01,2.0,0.15,,,,,,,,,,,,,45.20618422423674,98.66222697404527,52.3469912589463,1.1579608444563454,0.63,94.47,4.91,-53.5,3.0770465823245434,66.50159596890785,2.780206282252811,3.2104328216299494,3.648129199056559,0.005713080529153592,0.007094577059474396,0.0015868179005625056,13.214906361500429,0.3710537782128842,0.001222814740264866,10.258058298210067,42286168,91.27091667226775,4.978300849900107,0.0,3.7507824778321512
OSD-522,GC-C2_S3_L001,Arabidopsis thaliana,,Illumina NovaSeq 6000,polyA enrichment,PAIRED,STRANDED,68145804,151,1.86,greater than 6,Plant Shoots,,,,Wild Type,,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",,,17584,32833,53.55587366369202,68145804.0,151.0,151,35.9852791221707,36.08141976577164,89.38738149588941,44.0,32.0,58.0,40,45,51,0.020947584681809614,68145804.0,151.0,151,35.004797635932135,35.159622875679915,85.8914661974471,44.0,33.0,56.0,40,45,48,2.324398139025552,68128113.0,149.71194078133354,151,36.02474156885401,36.08665261847105,89.39571505771204,44.0,32.0,58.0,40,45,51,0.021258152427460875,68128113.0,149.85944221000221,151,35.05031219399076,35.164284122111525,85.91951325377977,44.0,33.0,56.0,40,45,48,2.3476595803898053,66.46,31.32,0.0,2.1,0.11,,,,,,,,,,,,,44.19487859281616,98.9293873243817,53.772871120056315,1.2167217748347214,0.61,88.99000000000001,10.4,-53.5,3.056404852017061,64.4070066652999,4.795986324777354,2.8011986730773124,3.382309559808492,0.0052010208643364555,0.005669477523951846,0.0016402382767680985,12.068452141440506,0.5500365949766906,0.00018047100821227957,11.982318832946467,34621101,87.93958838926493,8.217665251761485,0.0,3.8427463589735797
OSD-522,GC-D2_S4_L001,Arabidopsis thaliana,,Illumina NovaSeq 6000,polyA enrichment,PAIRED,STRANDED,78808639,151,2.19,greater than 6,Plant Shoots,,,,Wild Type,,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",,,17615,32833,53.65029086589712,78808639.0,151.0,151,35.95598964079907,36.053715687185004,90.05439117381454,43.0,32.0,59.0,40,44,50,0.0223247098582682,78808639.0,151.0,151,35.05098297415418,35.21333478173631,86.5813745504816,44.0,33.0,57.0,40,44,48,2.3157783501374762,78780969.0,150.01426859829562,151,35.9917841014084,36.06066808695134,90.06363797998063,44.0,32.0,59.0,40,44,50,0.022629437900545796,78780969.0,150.1537230266868,151,35.096516849705985,35.223537405396016,86.60740207052245,44.0,33.0,57.0,40,44,48,2.331045645621869,70.05,27.5,0.0,2.36,0.08,,,,,,,,,,,,,43.923243191812034,98.61388120339952,52.29440038475901,1.190586044759725,0.67,87.14,12.2,-53.5,3.0635686638181885,67.42286418450747,5.4530826684865445,2.9149950424068654,3.526417188888181,0.006294862937214244,0.008574669117385221,0.0014393809167721795,8.416741886300532,0.4911397500483119,0.0003375023514831099,11.758112864039237,42216381,87.83577097799242,8.15996019545821,0.0,4.0042688265493664
OSD-522,GC-E2_S5_L001,Arabidopsis thaliana,,Illumina NovaSeq 6000,polyA enrichment,PAIRED,STRANDED,77405456,151,3.77,greater than 6,Plant Shoots,,,,Wild Type,,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",,,17464,32833,53.19038771967228,77405456.0,151.0,151,35.95746017084785,36.04629557895764,90.13592515609687,45.0,33.0,60.0,41,46,52,0.02074763308674262,77405456.0,151.0,151,34.894922791053844,35.050084758883145,85.73828111510039,45.0,34.0,60.0,41,46,49,2.3105782104041865,77378167.0,149.8413524967579,151,35.994337902212564,36.05199170415777,90.14257871878661,45.0,33.0,60.0,41,46,52,0.021006944673887324,77378167.0,149.94775263932007,151,34.94199185854382,35.05985665163715,85.77034566744658,45.0,34.0,60.0,41,46,49,2.3309893548231986,61.8,35.51,0.21,2.17,0.32,,,,,,,,,,,,,44.669241273957915,98.45525000507004,49.90906496658584,1.117302724272658,0.53,89.59,9.879999999999999,-53.5,2.997652055153318,58.22264661038549,9.567832164181926,2.4505277698044363,2.8593797872565268,0.005050967434258486,0.006882461986295702,0.001406742478031688,11.926225693612318,1.386878068787535,0.0009518540453612445,13.572217880027825,35582987,80.13211501006376,15.16389639179252,0.0,4.703988598143726
OSD-522,GC-F2_S6_L001,Arabidopsis thaliana,,Illumina NovaSeq 6000,polyA enrichment,PAIRED,STRANDED,72515418,151,4.12,greater than 6,Plant Shoots,,,,Wild Type,,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",,,17179,32833,52.32235860262541,72515418.0,151.0,151,35.95168544066326,36.05009307951586,89.91471247006561,45.0,33.0,60.0,41,46,52,0.022909748655106702,72515418.0,151.0,151,35.09340461032061,35.19081308198486,86.67793195814194,45.0,35.0,60.0,41,46,50,2.305395660823468,72498071.0,150.05005398005693,151,35.987427149015225,36.056347173935265,89.922482172444,45.0,33.0,60.0,41,46,52,0.02319033189164266,72498071.0,150.1602580156926,151,35.1361072215062,35.19788528934356,86.70232079541627,45.0,35.0,60.0,41,46,50,2.3209795672642675,64.48,33.52,0.05,1.84,0.12,,,,,,,,,,,,,43.61445080925144,99.04970249066407,51.37042034164869,1.1778302692912062,0.53,91.8,7.670000000000001,-33.5,2.8624487388037174,60.21768594275196,10.572657842600547,2.284650101537954,2.656262333506539,0.003986177173417123,0.004939169127469946,0.0013979238663590129,9.931982596934397,0.6809297472055906,0.00027436456256779707,13.645233800733195,35045997,80.70244476892861,15.95033550030523,0.0,3.3472197307661573
OSD-522,FT-A2_S7_L001,Arabidopsis thaliana,,Illumina NovaSeq 6000,polyA enrichment,PAIRED,STRANDED,79181253,151,1.9,greater than 6,Plant Shoots,,,,Wild Type,,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",,,17602,32833,53.61069655529498,79181253.0,151.0,151,35.960568821331854,36.058515864860084,89.39481587203161,44.0,32.0,59.0,40,45,51,0.02372468139649167,79181253.0,151.0,151,35.08975875929808,35.19035528902277,85.89500062501043,44.0,33.0,57.0,40,45,48,2.304176343357436,79163544.0,149.83981620378188,151,35.998149148136534,36.067304009056,89.40236035131488,44.0,32.0,59.0,40,45,51,0.024007470459026646,79163544.0,149.987614753579,151,35.13280708855529,35.194268767314064,85.91679758164844,44.0,33.0,57.0,40,45,48,2.325082421728438,69.05,28.88,0.02,2.0,0.05,,,,,,,,,,,,,50.57754610573305,95.45076361809355,43.44162205999969,0.8589112245419022,0.62,86.75,12.629999999999999,-53.5,3.1545002445131516,63.5407382867633,5.732530430764707,2.648944530349688,3.9234490702659692,0.005852012115958032,0.009520735214207699,0.001726272739307982,11.650501381750152,0.3773459056150372,0.00483933540262349,12.104552039019053,40340390,87.11084056289816,9.349191786999858,0.0,3.5399676501019828
OSD-522,FT-B2_S8_L001,Arabidopsis thaliana,,Illumina NovaSeq 6000,polyA enrichment,PAIRED,STRANDED,72499596,151,0.97,greater than 6,Plant Shoots,,,,Wild Type,,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",,,18038,32833,54.938628818566684,72499596.0,151.0,151,35.965351701081424,36.06561867737856,88.3850968019103,43.0,31.0,56.0,39,44,50,0.02336840608049733,72499596.0,151.0,151,34.87016835227751,34.999069800333785,84.066303396347,43.0,32.0,55.0,40,44,48,2.309517835106281,72475696.0,149.9188931141827,151,36.00412412951511,36.07080921035048,88.39277171214007,43.0,31.0,56.0,39,44,50,0.02366600195226768,72475696.0,150.04649840133996,151,34.918253479177004,35.004464023688755,84.10063557233059,43.0,32.0,55.0,40,44,48,2.3273066977910184,71.6,26.18,0.0,2.19,0.03,,,,,,,,,,,,,50.92018060902794,95.80383719987222,44.08204070831875,0.8657086479481808,0.7100000000000001,86.37,12.91,-53.5,3.161891522036623,66.70957650162806,3.0879914466467295,3.3695296916806963,5.116322184204346,0.008379306365163066,0.013441045127899991,0.001741782702713652,10.995804339846561,0.2463413367681273,0.00040723202031145433,10.450465133009383,36638898,91.01268870299837,4.996118430544301,0.0,3.991192866457318
OSD-522,FT-C2_S9_L001,Arabidopsis thaliana,,Illumina NovaSeq 6000,polyA enrichment,PAIRED,STRANDED,69937263,151,1.1,greater than 6,Plant Shoots,,,,Wild Type,,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",,,18293,32833,55.71528644960863,69937263.0,151.0,151,35.96704733855542,36.05779059154774,87.56975870479623,44.0,32.0,59.0,40,45,51,0.02212311339664522,69937263.0,151.0,151,35.04583605151196,35.13080467847305,83.7579613584018,44.0,33.0,55.0,40,45,48,2.303033791871438,69919678.0,149.70553502835068,151,36.00603865810298,36.06320460083134,87.5865647581597,44.0,32.0,59.0,40,45,51,0.022446812516571282,69919678.0,149.8572602551173,151,35.087425042547025,35.138357008595875,83.78270323702478,44.0,33.0,55.0,40,45,48,2.3255962234422816,68.62,29.21,0.02,2.02,0.13,,,,,,,,,,,,,45.80289990713548,97.78712283864598,50.521812166676554,1.1030264954644482,0.66,90.97,8.37,-58.5,3.2473259548442885,61.15491769230944,2.9741120871589657,4.211309628591962,4.288923900685197,0.007092643434453932,0.012972637522051815,0.00190677030438589,11.736748086328259,2.8215268592844485,0.00039302094963744594,12.790096673431202,35177553,90.65141593162316,5.425795069894964,0.0,3.9227889984818827
OSD-522,FT-D2_S10_L001,Arabidopsis thaliana,,Illumina NovaSeq 6000,polyA enrichment,PAIRED,STRANDED,73510827,151,0.58,greater than 6,Plant Shoots,,,,Wild Type,,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",,,17652,32833,53.7629823653032,73510827.0,151.0,151,35.95722967097221,36.05124031865401,88.8656761239622,43.0,32.0,55.0,39,44,49,0.02389906455548378,73510827.0,151.0,151,35.049961245880574,35.215321386603364,85.39997909421119,43.0,33.0,54.0,40,44,48,2.306387465889889,73487894.0,149.88608961906024,151,35.99616099087054,36.06168194986834,88.87528907159017,43.0,32.0,55.0,39,44,49,0.024228773918173768,73487894.0,150.06510114441434,151,35.094356878686334,35.224323611873544,85.4287038643363,43.0,33.0,54.0,40,44,48,2.323110413175642,73.87,23.99,0.0,2.06,0.08,,,,,,,,,,,,,43.053318595977856,98.34734011742741,53.16907232566499,1.2349587455642077,0.62,84.78,14.6,-53.5,3.1647059743414427,71.2351507815071,2.0621373162842596,3.548771483847014,4.171000292673152,0.005932048748128054,0.009666043249297734,0.0015705414283229795,9.413794238957292,0.5984959221490005,0.0002803281563625859,8.953201003000068,41904379,93.018375247125,3.4864016796075594,0.0,3.4952230732674456
