Sample Name,has_ERCC,organism,paired_end,read1_path,read2_path,Factor Value[Organism Part],Factor Value[Spaceflight],Source Name,Has Tech Reps,Original Sample Name
GC-A2_S1_L001,False,Arabidopsis thaliana,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-A2_S1_L001_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-A2_S1_L001_R2_raw.fastq.gz,Plant Shoots,Ground Control,GC-A2_S1_L001_R1_001 GC-A2_S1_L001_R2_001,False,GC-A2_S1_L001
GC-B2_S2_L001,False,Arabidopsis thaliana,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-B2_S2_L001_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-B2_S2_L001_R2_raw.fastq.gz,Plant Shoots,Ground Control,GC-B2_S2_L001_R1_001 GC-B2_S2_L001_R2_001,False,GC-B2_S2_L001
GC-C2_S3_L001,False,Arabidopsis thaliana,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-C2_S3_L001_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-C2_S3_L001_R2_raw.fastq.gz,Plant Shoots,Ground Control,GC-C2_S3_L001_R1_001 GC-C2_S3_L001_R2_001,False,GC-C2_S3_L001
GC-D2_S4_L001,False,Arabidopsis thaliana,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-D2_S4_L001_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-D2_S4_L001_R2_raw.fastq.gz,Plant Shoots,Ground Control,GC-D2_S4_L001_R1_001 GC-D2_S4_L001_R2_001,False,GC-D2_S4_L001
GC-E2_S5_L001,False,Arabidopsis thaliana,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-E2_S5_L001_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-E2_S5_L001_R2_raw.fastq.gz,Plant Shoots,Ground Control,GC-E2_S5_L001_R1_001 GC-E2_S5_L001_R2_001,False,GC-E2_S5_L001
GC-F2_S6_L001,False,Arabidopsis thaliana,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-F2_S6_L001_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_GC-F2_S6_L001_R2_raw.fastq.gz,Plant Shoots,Ground Control,GC-F2_S6_L001_R1_001 GC-F2_S6_L001_R2_001,False,GC-F2_S6_L001
FT-A2_S7_L001,False,Arabidopsis thaliana,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_FT-A2_S7_L001_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_FT-A2_S7_L001_R2_raw.fastq.gz,Plant Shoots,Space Flight,FT-A2_S7_L001_R1_001 FT-A2_S7_L001_R2_001,False,FT-A2_S7_L001
FT-B2_S8_L001,False,Arabidopsis thaliana,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_FT-B2_S8_L001_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_FT-B2_S8_L001_R2_raw.fastq.gz,Plant Shoots,Space Flight,FT-B2_S8_L001_R1_001 FT-B2_S8_L001_R2_001,False,FT-B2_S8_L001
FT-C2_S9_L001,False,Arabidopsis thaliana,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_FT-C2_S9_L001_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_FT-C2_S9_L001_R2_raw.fastq.gz,Plant Shoots,Space Flight,FT-C2_S9_L001_R1_001 FT-C2_S9_L001_R2_001,False,FT-C2_S9_L001
FT-D2_S10_L001,False,Arabidopsis thaliana,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_FT-D2_S10_L001_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-522/download?source=datamanager&file=GLDS-522_rna-seq_FT-D2_S10_L001_R2_raw.fastq.gz,Plant Shoots,Space Flight,FT-D2_S10_L001_R1_001 FT-D2_S10_L001_R2_001,False,FT-D2_S10_L001
